	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.74879567239656	0.157241012424259	4.23827766198299	4.08103664955873	0	1.26281390067825	1.21878256442558	0.955403338612982	0.168287728723851	0.177904199208668	0	1	1	497097	Xkr4	chr1
20671	-2.0818433762634	-1.77595588666822	-1.06141475214411	0.714541134524108	-0.365026813012107	-0.0287980754822232	0	0.482244392819968	0.673703355059196	0.762621500452487	0	0	0	20671	Sox17	chr1
27395	4.42597885909107	0.776283395523746	0.381861117547449	-0.394422277976297	0	0	0	0.728898937389295	0.9469696985977	0.942767697471946	0	0	0	27395	Mrpl15	chr1
18777	5.4055112965762	0.419853406591751	-0.240072145050256	-0.659925551642007	0	0	0	0.966359910824931	0.989385430010655	0.890934436365659	0	0	0	18777	Lypla1	chr1
21399	5.09530931730928	0.229022188058699	0.359349591240199	0.1303274031815	0	0	0	0.989859626066974	0.978608597687249	0.995866988688153	0	0	0	21399	Tcea1	chr1
58175	2.27671460973488	0.374111923101425	-0.248075403326055	-0.62218732642748	0	0	0	0.840580314378434	0.889998561403012	0.729242149054817	0	0	0	58175	Rgs20	chr1
108664	5.95690389578267	0.435296961491965	-0.133549309943386	-0.568846271435351	0	0	0	0.945013383539346	0.990698251972409	0.909971493391204	0	0	0	108664	Atp6v1h	chr1
12421	6.44887257778405	0.00358164106818215	0.377125702861407	0.373544061793225	0	0	0	0.999793921913261	0.963637065028477	0.971322673277206	0	0	0	12421	Rb1cc1	chr1
319263	6.02208383934917	-0.0313991891228893	0.222525974701849	0.253925163824738	0	0	0	0.999310556950837	0.993724633272953	0.994062853016679	0	0	0	319263	Pcmtd1	chr1
59014	5.48468582101477	-0.383794979375772	0.301217066553824	0.685012045929596	0	0	0	0.959427872599674	0.972730395622903	0.842972515264462	0	0	0	59014	Rrs1	chr1
76187	0.55563787156786	-0.375387992651373	-0.854684556520432	-0.47929656386906	0	0	0	0.887319824862767	0.616916182999546	0.860274166803991	0	0	0	76187	Adhfe1	chr1
72481	-0.538390267798822	1.12275270828682	0.230439394065741	-0.892313314221082	0.147028064807121	0	0	0.464981291621965	0.901216365128423	0.578278590609537	0	0	0	72481	2610203C22Rik	chr1
76982	-1.18311608750769	-0.964169450830736	-0.121054629621763	0.843114821208973	0	0	0	0.5448205564528	0.946806501273079	0.603837584552064	0	0	0	76982	Vxn	chr1
17864	3.12625745924551	-0.00632552643107465	0.839264166516062	0.845589692947136	0	0	0	0.999572650812177	0.688313213038	0.686293383454346	0	0	0	17864	Mybl1	chr1
70675	6.12266178720603	-0.437600499131914	-0.130359954097999	0.307240545033915	0	0	0	0.984729641091167	0.998277137847347	0.9952214671368	0	0	0	70675	Vcpip1	chr1
170755	3.21866128564392	0.707837539881329	0.296926919070369	-0.41091062081096	0	0	0	0.713033990842418	0.921231189358449	0.875739179360414	0	0	0	170755	Sgk3	chr1
620986	2.09476046145719	0.663178973277004	0.105429284370897	-0.557749688906107	0	0	0	0.737263466217383	0.973293973722734	0.805278283221252	0	0	0	620986	NA	NA
